ICMSProprio - 1. Resumo ICMS - [ E110 - VL_TOT_DEBITOS ] - Valor total dos débitos
[ E110 - VL_TOT_CREDITOS ] - Valor total dos créditos
[ E110 -  VL_SLD_CREDOR_ANT ] - Valor total de "Saldo credor do período anterior"
[ E110 -  VL_SLD_CREDOR_TRANSPORTAR ] - Valor total de "Saldo credor a transportar para o período seguinte"
DESCRIÇÃO;JUL/2025;AGO/2025;SET/2025;OUT/2025;NOV/2025;DEZ/2025
Valor Operacional - Saídas/Prestações;500.000,00;580.000,00;500.000,00;500.000,00;500.000,00;500.000,00
( = ) Total dos débitos   ➤  Débito;10.000,00;11.600,00;10.000,00;10.000,00;10.000,00;10.000,00
( = ) Total dos Créditos   ➤  Crédito;25.000,00;29.000,00;25.000,00;25.000,00;25.000,00;25.000,00
  ➦  ( + ) Saldo Credor do Período Anterior;0,00;150.000,00;180.000,00;200.000,00;220.000,00;240.000,00
            💲  Total de ICMS a Recolher;0,00;0,00;0,00;0,00;0,00;0,00
  ➥  Saldo Credor a Transportar - Período Seguinte;150.000,00;180.000,00;200.000,00;220.000,00;240.000,00;250.000,00


ICMSProprio - 19. Valor Operacional por CFOP - Saídas/Prestações - [ C190 - VL_OPR ] - Valor da operação
DESCRIÇÃO;JUL/2025;AGO/2025;SET/2025;OUT/2025;NOV/2025;DEZ/2025
6102 - Venda mercad adq/receb terc;500.000,00;500.000,00;500.000,00;500.000,00;500.000,00;500.000,00
7101 - Venda prod do estab;0,00;80.000,00;0,00;0,00;0,00;0,00


ICMSProprio - 20. Valor Operacional por CFOP - Entradas/Aquisições - [ C190 - VL_OPR ] - Valor da operação
DESCRIÇÃO;JUL/2025;AGO/2025;SET/2025;OUT/2025;NOV/2025;DEZ/2025
1101 - Compra p/indust ou prod rural;300.000,00;348.000,00;300.000,00;300.000,00;300.000,00;300.000,00


ICMSProprio - 21. Abertura Saldo Credor por CNPJ - [ E110 VL_SLD_CREDOR_ANT] - Valor do saldo credor período anterior
DESCRIÇÃO;JUL/2025;AGO/2025;SET/2025;OUT/2025;NOV/2025;DEZ/2025
12345678000271 - SP;0,00;150.000,00;180.000,00;200.000,00;220.000,00;240.000,00


ICMSProprio - 22. Abertura Saldo a Transportar por CNPJ - [ E110 VL_SLD_CREDOR_TRANSPORTAR] - Valor do saldo credor à transportar para o período seguinte
DESCRIÇÃO;JUL/2025;AGO/2025;SET/2025;OUT/2025;NOV/2025;DEZ/2025
12345678000271 - SP;150.000,00;180.000,00;200.000,00;220.000,00;240.000,00;250.000,00


ICMSProprio - 23. Abertura ICMS a Recolher por CNPJ - [ E110 VL_ICMS_RECOLHER] - Valor do ICMS a recolher
DESCRIÇÃO;JUL/2025;AGO/2025;SET/2025;OUT/2025;NOV/2025;DEZ/2025
12345678000271 - SP;0,00;0,00;0,00;0,00;0,00;0,00
