ICMSProprio - 1. Resumo ICMS - [ E110 - VL_TOT_DEBITOS ] - Valor total dos débitos
[ E110 - VL_TOT_CREDITOS ] - Valor total dos créditos
[ E110 -  VL_SLD_CREDOR_ANT ] - Valor total de "Saldo credor do período anterior"
[ E110 -  VL_SLD_CREDOR_TRANSPORTAR ] - Valor total de "Saldo credor a transportar para o período seguinte"
DESCRIÇÃO;JUL/2025;AGO/2025;SET/2025;OUT/2025;NOV/2025
Valor Operacional - Saídas/Prestações;180.000,00;190.000,00;195.000,00;198.000,00;200.000,00
( = ) Total dos débitos   ➤  Débito;3.600,00;3.800,00;3.900,00;3.960,00;4.000,00
( = ) Total dos Créditos   ➤  Crédito;9.000,00;9.500,00;9.750,00;9.900,00;10.000,00
  ➦  ( + ) Saldo Credor do Período Anterior;0,00;80.000,00;90.000,00;95.000,00;98.000,00
            💲  Total de ICMS a Recolher;0,00;0,00;0,00;0,00;0,00
  ➥  Saldo Credor a Transportar - Período Seguinte;80.000,00;90.000,00;95.000,00;98.000,00;100.000,00


ICMSProprio - 19. Valor Operacional por CFOP - Saídas/Prestações - [ C190 - VL_OPR ] - Valor da operação
DESCRIÇÃO;JUL/2025;AGO/2025;SET/2025;OUT/2025;NOV/2025
5101 - Venda prod do estab;180.000,00;190.000,00;195.000,00;198.000,00;176.000,00
7101 - Venda prod do estab;0,00;0,00;0,00;0,00;24.000,00


ICMSProprio - 20. Valor Operacional por CFOP - Entradas/Aquisições - [ C190 - VL_OPR ] - Valor da operação
DESCRIÇÃO;JUL/2025;AGO/2025;SET/2025;OUT/2025;NOV/2025
1101 - Compra p/indust ou prod rural;108.000,00;114.000,00;117.000,00;118.800,00;120.000,00


ICMSProprio - 21. Abertura Saldo Credor por CNPJ - [ E110 VL_SLD_CREDOR_ANT] - Valor do saldo credor período anterior
DESCRIÇÃO;JUL/2025;AGO/2025;SET/2025;OUT/2025;NOV/2025
12345678000433 - ES;0,00;80.000,00;90.000,00;95.000,00;98.000,00


ICMSProprio - 22. Abertura Saldo a Transportar por CNPJ - [ E110 VL_SLD_CREDOR_TRANSPORTAR] - Valor do saldo credor à transportar para o período seguinte
DESCRIÇÃO;JUL/2025;AGO/2025;SET/2025;OUT/2025;NOV/2025
12345678000433 - ES;80.000,00;90.000,00;95.000,00;98.000,00;100.000,00


ICMSProprio - 23. Abertura ICMS a Recolher por CNPJ - [ E110 VL_ICMS_RECOLHER] - Valor do ICMS a recolher
DESCRIÇÃO;JUL/2025;AGO/2025;SET/2025;OUT/2025;NOV/2025
12345678000433 - ES;0,00;0,00;0,00;0,00;0,00
